# name,alignment,,,,,,,,,,,
Dwarfs,Good,,,,,,,,,,,
# type,unit,size,Sp,Me,Ra,De,At,Ne,Special,Options,Points,Base
Infantry,Ironclad,Troop (10),4,4,-,5,10,10/12,Headstrong,Dwarven Throwing Mastiff|+10,75,20x20
Infantry,Ironclad,Regiment (20),4,4,-,5,12,14/16,Headstrong,Dwarven Throwing Mastiff|+10,110,20x20
Infantry,Ironclad,Horde (40),4,4,-,5,25,21/23,Headstrong,Dwarven Throwing Mastiff|+10,180,20x20
Infantry,Shieldbreakers,Troop (10),4,4,-,4,10,10/12,"CS (2), Headstrong",Dwarven Throwing Mastiff|+10,90,20x20
Infantry,Shieldbreakers,Regiment (20),4,4,-,4,12,14/16,"CS (2), Headstrong",Dwarven Throwing Mastiff|+10,130,20x20
Infantry,Shieldbreakers,Horde (40),4,4,-,4,25,21/23,"CS (2), Headstrong",Dwarven Throwing Mastiff|+10,215,20x20
Infantry,Ironguard,Troop (10),4,3,-,6,10,11/13,Headstrong,"Two-handed weapons|+0|Set(Defense,5)|Grant(CS(1));Dwarven Throwing Mastiff|+10",110,20x20
Infantry,Ironguard,Regiment (20),4,3,-,6,12,15/17,Headstrong,"Two-handed weapons|+0|Set(Defense,5)|Grant(CS(1));Dwarven Throwing Mastiff|+10",160,20x20
Infantry,Bulwarkers,Troop (10),4,4,-,5,10,10/12,"Phalanx, Headstrong",Dwarven Throwing Mastiff|+10,105,20x20
Infantry,Bulwarkers,Regiment (20),4,4,-,5,15,14/16,"Phalanx, Headstrong",Dwarven Throwing Mastiff|+10,150,20x20
Infantry,Bulwarkers,Horde (40),4,4,-,5,30,21/23,"Phalanx, Headstrong",Dwarven Throwing Mastiff|+10,250,20x20
Infantry,Ironwatch Crossbows,Troop (10),4,5,5,4,8,10/12,"Crossbows, Piercing (1), Reload!, Headstrong",,100,20x20
Infantry,Ironwatch Crossbows,Regiment (20),4,5,5,4,10,14/16,"Crossbows, Piercing (1), Reload!, Headstrong",,135,20x20
Infantry,Ironwatch Crossbows,Horde (40),4,5,5,4,20,21/23,"Crossbows, Piercing (1), Reload!, Headstrong",,225,20x20
