# name,alignment,,,,,,,,,,,
Forces of Nature,Neutral,,,,,,,,,,,
# type,unit,size,Sp,Me,Ra,De,At,Ne,Special,Options,Points,Base
Infantry,Naiad Ensnarers,Troop (10),5,4,-,3,10,9/11,"Ensnare, Regeneration (4+), Pathfinder",,100,20x20
Infantry,Naiad Ensnarers,Regiment(20),5,4,-,3,12,13/15,"Ensnare, Regeneration (4+), Pathfinder",,140,20x20
Infantry,Naiad Ensnarers,Horde(40),5,4,-,3,25,20/22,"Ensnare, Regeneration (4+), Pathfinder",,230,20x20
Infantry,Naiad Heartpiercers,Troop (10),5,5,4,3,8,9/11,"Harpoon-gun, Piercing (1), Regeneration (4+), Pathfinder",,120,20x20
Infantry,Naiad Heartpiercers,Regiment(20),5,5,4,3,10,13/15,"Harpoon-gun, Piercing (1), Regeneration (4+), Pathfinder",,160,20x20
Infantry,Hunters of the Wild,Troop (10),6,4,-,4,20,10/12,"Vanguard, Pathfinder",,135,20x20
Infantry,Hunters of the Wild,Regiment(20),6,4,-,4,25,14/16,"Vanguard, Pathfinder",,190,20x20
Infantry,Salamanders,Troop (10),5,4,-,5,10,10/12,"Crushing Strength (1), Pathfinder","Two-handed weapons|+0|Set(Defense,4)|Grant(CS(2))",100,25x25
Infantry,Salamanders,Regiment(20),5,4,-,5,12,14/16,"Crushing Strength (1), Pathfinder","Two-handed weapons|+0|Set(Defense,4)|Grant(CS(2))",140,25x25
Infantry,Salamanders,Horde(40),5,4,-,5,25,21/23,"Crushing Strength (1), Pathfinder","Two-handed weapons|+0|Set(Defense,4)|Grant(CS(2))",230,25x25
Large Cavalry,Naiad Wyrmriders,Regiment(3),8,3,-,4,9,12/14,"Crushing Strength (1), Regeneration (4+), Thunderous Charge (1), Pathfinder",,155,50x50
Large Cavalry,Naiad Wyrmriders,Horde(6),8,3,-,4,18,15/17,"Crushing Strength (1), Regeneration (4+), Thunderous Charge (1), Pathfinder",,240,50x50
Cavalry,Centaur Bray-Striders,Troop(5),8,3,-,4,6,11/13,"Crushing Strength (1), Thunderous Charge (1), Pathfinder",,100,25x50
Cavalry,Centaur Bray-Striders,Regiment(10),8,3,-,4,12,14/16,"Crushing Strength (1), Thunderous Charge (1), Pathfinder",,155,25x50
