# name,alignment,,,,,,,,,,,
Kingdom of Men,Neutral,,,,,,,,,,,
# type,unit,size,Sp,Me,Ra,De,At,Ne,Special,Options,Points,Base
Infantry,Shield Wall,Troop (10),5,4,-,4,10,9/11,,,70,20x20
Infantry,Shield Wall,Regiment (20),5,4,-,4,12,13/15,,,100,20x20
Infantry,Shield Wall,Horde (40),5,4,-,4,25,20/22,,,165,20x20
Infantry,Foot Guard,Troop (10),5,3,-,5,10,10/12,,"Two-handed weapons|+0|Set(Defense,4)|Grant(CS(1))",95,20x20
Infantry,Foot Guard,Regiment (20),5,3,-,5,12,14/16,,"Two-handed weapons|+0|Set(Defense,4)|Grant(CS(1))",95,20x20
Infantry,Foot Guard,Horde (40),5,3,-,5,25,21/23,,"Two-handed weapons|+0|Set(Defense,4)|Grant(CS(1))",95,20x20
Infantry,Pike Block,Regiment (20),5,4,-,3,15,13/15,"Ensnare, Phalanx",,135,20x20
Infantry,Pike Block,Horde (40),5,4,-,3,30,20/22,"Ensnare, Phalanx",,225,20x20
Infantry,Heavy Pike Block,Regiment (20),5,4,-,4,15,14/16,"Elite, Ensnare, Phalanx",,165,20x20
Infantry,Heavy Pike Block,Horde (40),5,4,-,4,30,21/23,"Elite, Ensnare, Phalanx",,270,20x20
Infantry,Spear Phalanx,Troop (10),5,4,-,4,10,9/11,Phalanx,,85,20x20
Infantry,Spear Phalanx,Regiment (20),5,4,-,4,15,13/15,Phalanx,,120,20x20
Infantry,Spear Phalanx,Horde (40),5,4,-,4,30,20/22,Phalanx,,200,20x20
Infantry,Pole-Arms Block,Troop (10),5,4,-,3,10,9/11,CS (1),,70,20x20
Infantry,Pole-Arms Block,Regiment (20),5,4,-,3,12,13/15,CS (1),,100,20x20
Infantry,Pole-Arms Block,Horde (40),5,4,-,3,25,20/22,CS (1),,165,20x20
Infantry,Militia Mob*,Troop (10),5,5,-,3,10,8/10,,,50,20x20
Infantry,Militia Mob*,Regiment (20),5,5,-,3,10,12/14,,,70,20x20
Infantry,Militia Mob*,Horde (40),5,5,-,3,10,19/21,,,115,20x20
Infantry,Militia Mob*,Legion (60),5,5,-,3,10,25/27,,,170,20x20
Infantry,Berserkers,Troop (10),5,3,-,3,10,-/12,CS (1),,100,20x20
Infantry,Berserkers,Regiment (20),5,3,-,3,15,-/16,CS (1),,140,20x20
Infantry,Berserkers,Horde (40),5,3,-,3,30,-/23,CS (1),,230,20x20
Infantry,Bowmen,Troop (10),5,5,5,3,8,9/11,Bows,,75,20x20
Infantry,Bowmen,Regiment (20),5,5,5,3,10,13/15,Bows,,100,20x20
Infantry,Bowmen,Horde (40),5,5,5,3,20,20/22,Bows,,165,20x20
Infantry,Crossbowmen,Troop (10),5,5,5,3,8,9/11,"Crossbows, Piercing (1), Reload!",,85,20x20
Infantry,Crossbowmen,Regiment (20),5,5,5,3,10,13/15,"Crossbows, Piercing (1), Reload!",,115,20x20
Infantry,Crossbowmen,Horde (40),5,5,5,3,20,20/22,"Crossbows, Piercing (1), Reload!",,190,20x20
Infantry,Arquebusiers,Troop (10),5,5,5,3,8,9/11,"Rifles, Piercing (2), Reload!",,100,20x20
Infantry,Arquebusiers,Regiment (20),5,5,5,3,10,13/15,"Rifles, Piercing (2), Reload!",,135,20x20
Infantry,Arquebusiers,Horde (40),5,5,5,3,20,20/22,"Rifles, Piercing (2), Reload!",,225,20x20
Cavalry,Knights,Troop (5),8,3,-,5,8,11/13,"TC (2), Headstrong",,125,25x50
Cavalry,Knights,Regiment (10),8,3,-,5,16,14/16,"TC (2), Headstrong",,195,25x50
Cavalry,Knights,Horde (20),8,3,-,5,32,21/23,"TC (2), Headstrong",,340,25x50
Cavalry,Mounted Scouts,Troop (5),9,5,5,3,7,10/12,"Bows, Nimble",Pistols|+0|Grant(Piercing (1))|Remove(Bows);Carbines|+15|Grant(Piercing (1))|Remove(Bows),100,25x50
Cavalry,Mounted Sergeants,Troop (5),9,4,-,4,7,10/12,"TC (1), Nimble",,105,25x50
Cavalry,Mounted Sergeants,Troop (5),9,4,-,4,14,13/15,"TC (1), Nimble",,160,25x50
Large Cavalry,Charioteers,Regiment (3),8,4,5,4,8,11/13,"Bows, TC (2)",,115,50x100
Large Cavalry,Charioteers,Horde (6),8,4,5,4,16,14/16,"Bows, TC (2)",,175,50x100
War Engine,Cannon,Individual,5,-,5,4,1,9/11,"Blast (D6+1), Piercing (4), Reload!",,85,50x50
War Engine,Siege Artillery,Individual,5,-,5,4,1,9/11,"Blast (D6+2), Piercing (3), Indirect Fire, Reload!",,90,50x50
War Engine,Ballista,Individual,5,-,5,4,1,9/11,"Blast (D3+2), Piercing (3), Reload!",,60,50x50
Monster,Beast of War,Individual,7,4,-,5,12,15/17,"CS (2), TC (2), Brutal",Light Ballista|+10|Grant(Light Ballista),210,50x100
Hero,General,Individual,5,3,-,5,4,12/14,"CS (1), Individual, Very Inspiring","Horse|+20|Set(Speed,8);Pegasus|+50|Set(Speed,10)|Grant(Fly)|Remove(Individual)",100,20x20
Hero,General on Winged Beast,Individual,10,3,-,5,6,14/16,"CS (2), Fly, Very Inspiring",,190,50x50
Hero,Hero,Individual,5,3,-,5,3,10/12,"CS (1), Individual","Horse|+15|Set(Speed,8);Pegasus|+40|Set(Speed,10)|Grant(Fly)|Remove(Individual)",50,20x20
Hero,Army Standard Bearer,Individual,5,5,-,4,1,9/11,"Individual, Very Inspiring","Horse|+15|Set(Speed,9)",50,20x20
Hero,Wizard,Individual,5,4,-,4,1,10/12,"Fireball (6), Individual","Lightning Bolt (3)|+25;Lightning Bolt (3) instead of Fireball|+0|Grant(Lightning Bolt (3));Wind Blast (5)|+30;Bane Chant (2)|+15;Heal (2)|+10;Horse|+15|Set(Speed,8);Pegasus|+25|Set(Speed,10)|Grant(Fly)|Remove(Individual)",50,20x20
Hero,The Captain [1],Individual,5,3,-,5,3,11/13,"CS (1), Individual, Master Tactician, Very Inspiring","Horse|+20|Set(Speed,8)",150,25x50
