# name,alignment,,,,,,,,,,,,,
Undead,Evil,,,,,,,,,,,,,
# type,unit,size,Sp,Me,Ra,De,At,Ne,Special,Options,Points,Base,Irregular,Unique
Infantry,Skeleton Warriors,Troop (10),5,5,-,4,10,-/12,"Shambling, Lifeleech",Undead Giant Rats,65,20x20,,
Infantry,Skeleton Warriors,Regiment(20),5,5,-,4,12,-/16,"Shambling, Lifeleech",Undead Giant Rats,90,20x20,,
Infantry,Skeleton Warriors,Horde(40),5,5,-,4,25,-/23,"Shambling, Lifeleech",Undead Giant Rats,150,20x20,,
Infantry,Skeleton Spearmen,Troop (10),5,5,-,4,10,-/12,"Shambling, Lifeleech",Undead Giant Rats,75,20x20,,
Infantry,Skeleton Spearmen,Regiment(20),5,5,-,4,15,-/16,"Shambling, Lifeleech",Undead Giant Rats,105,20x20,,
Infantry,Skeleton Spearmen,Horde(40),5,5,-,4,30,-/23,"Shambling, Lifeleech",Undead Giant Rats,175,20x20,,
Infantry,Skeleton Archers,Troop (10),5,6,5,3,8,-/12,"Shambling, Lifeleech",Undead Giant Rats,75,20x20,,
Infantry,Skeleton Archers,Regiment(20),5,6,5,3,10,-/16,"Shambling, Lifeleech",Undead Giant Rats,100,20x20,,
Infantry,Skeleton Archers,Horde(40),5,6,5,3,20,-/23,"Shambling, Lifeleech",Undead Giant Rats,165,20x20,,
Infantry,Ghouls,Troop (10),6,4,-,3,10,8/10,"Shambling, Lifeleech",Undead Giant Rats,65,20x20,,
Infantry,Ghouls,Regiment(20),6,4,-,3,12,12/14,"Shambling, Lifeleech",Undead Giant Rats,90,20x20,,
Infantry,Ghouls,Horde(40),6,4,-,3,25,19/21,"Shambling, Lifeleech",Undead Giant Rats,150,20x20,,
Infantry,Zombies,Regiment(20),5,5,-,3,15,-/15,"Shambling, Lifeleech",Undead Giant Rats,80,20x20,,
Infantry,Zombies,Horde(40),5,5,-,3,30,-/22,"Shambling, Lifeleech",Undead Giant Rats,130,20x20,,
Infantry,Zombies,Legion(60),5,5,-,3,40,-/28,"Shambling, Lifeleech",Undead Giant Rats,190,20x20,,
Infantry,Revenants,Troop (10),5,4,-,5,10,-/13,"Shambling, Lifeleech","Undead Giant Rats, two-handed weapons",85,20x20,,
